journal,pmc_ID,accession,converted_accession,repository,pmc_date,repository_date,species,hardware,library_strategy,sraAvg_length,sraBases,sraAccess,today,time_public,reuse_count,norm_reuse_count,reuse_role,pub_delay,class
Sci_Data,PMC4365909,SRX533604,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRP040522,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX533605,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX499318,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX533606,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRR1284620,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX533607,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX669475,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX533608,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
Sci_Data,PMC4365909,SRX533603,SRP040522,SRA,2014-11-25 00:00:00,2014-03-27,Drosophila melanogaster,PacBio RS,WGS,1868.0,305517017.0,public,2020-12-09,6.7095890410958905,15,2.235606369946917,G,243.0,SRA_other
